CompanyId,PersianYear,Return,Beta,DPR,Cash to total assets ratio,Current ratio,Quick Ratio,Debt to equity ratio,Equity Ratio,DuPont Ratio,Gross profit margin,Operating profit margin,Net profit margin,Return on assets,Return on equity,Return on investment,Sales growth rate,Current debt to total debt Ratio,Net working capital,Cost to sales ratio,Sale to current assets,Capital to sales ratio,Operating cash flow to sales,Cash flow returns to sales,Profit margin before interest and taxes,Net return on working capital
589,1392,262.06,1.86,0.85,8.25,1.38,1.16,0.86,1.86,53.76,7.65,6.67,14.07,38.99,75.64,44.48,51.34,100,37955,1.32,3.63,8.01,8.01,2.62,16.73,203.45
592,1392,53.79,1.82,0.91,15.47,2.31,1.14,0.46,1.46,68.29,79.05,51.55,48.29,51.46,86.23,76.19,18.24,98.62,8601557,22.48,1.59,9.98,9.98,73.78,50.77,151.4
598,1392,22.52,1.26,1.05,35.67,2.02,1.38,0.8,1.8,55.52,73.43,84.86,75.83,32.24,59.08,36.96,-9.2,50.36,2202664,8.85,0.96,41.97,41.97,96.78,92.63,111.57
613,1392,67.2,1.44,0.97,13.24,5.09,4.45,0.16,1.16,85.89,71.14,67.15,76.03,80.41,97.42,84.36,45.33,93.97,24398343,3.29,1.43,9.24,9.24,60.79,76.93,157.86
739,1392,50.04,2.14,0.9,32.84,1.8,0.79,1.06,2.06,48.47,7.61,7.14,6.71,41.93,114.65,79.01,87.46,93.41,3637142,0.67,7.04,1.78,1.78,5.03,8.19,143.69
740,1392,207.12,0.99,0.24,21.3,1.29,1.12,0.75,1.75,57.15,22.14,16.78,18.54,15.73,25.7,20.53,10.39,74.15,22321,2.41,1.87,45.37,45.37,19.03,18.96,156.02
772,1392,86.34,1.79,0.69,0.44,1.76,1.47,0.31,1.31,76.13,56.31,52.15,74.88,53.32,70.12,52.67,17.27,94.78,640205,6.08,1.49,46.75,46.75,39.98,75.35,279.51
777,1392,168.02,2.64,0.8,1.78,0.94,0.17,0.74,1.74,57.47,9.85,9.57,7.74,44.97,85.55,62.69,142.79,94.64,-2069429,0.28,12.82,3.44,3.44,2.29,9.67,584.57
813,1392,687.1,7.59,0.5,16.02,1.16,0.42,1.8,2.8,35.73,4.86,4.26,3.87,27.45,119.53,52.79,101.22,88.92,3103657,0.61,10.39,0.03,0.03,0.04,4.95,-1133.69
814,1392,190.95,2.01,0.81,7.79,2.29,1.64,0.39,1.39,71.75,26.69,29.56,27.9,17.65,27.89,20.02,4.19,78.67,54556,7.59,1.14,45.31,45.31,10.39,36.43,91.97
925,1392,112.55,1.69,0.94,32.93,2.68,2.39,0.5,1.5,66.79,39.76,34.91,27.85,35.43,55.66,44.17,11.66,100,271012,5.62,1.2,11.6,11.6,32.49,37,73.58
1422,1392,131.79,0.66,0,3.74,1.18,0.52,1.9,4.47,22.35,12.16,-0.91,-10.65,-10.57,-31.63,-11.95,51.02,92.92,77333,13.81,1.01,33.61,33.61,-25.13,-0.21,-47.56
1435,1392,78.29,1.56,0.75,1.64,1.67,0.79,1.12,2.12,47.18,47.52,41.18,30.29,37.48,79.42,53.35,58.51,99.86,286282,5.48,1.11,12.6,12.6,7.03,41.43,105.99
1461,1392,-4.53,1.11,0.97,16.03,1.01,0.24,2.74,3.74,26.73,10.6,7.32,1.8,2.94,8.29,2.75,-23.75,97.3,2244,3.61,1.86,17.53,17.53,-7.64,7.88,98.41
1631,1392,183.4,0.93,0.37,2.35,0.75,0.13,2.09,3.09,32.38,4.9,4.44,4.07,24.37,112.67,44.64,136.02,87.69,-2091065,0.46,12.23,1.51,1.51,1.32,4.47,-101.93
1632,1392,97.25,1.74,0.94,2.42,2,0.69,0.75,1.75,57.3,28.91,23.44,19.09,36.76,60.58,45.38,36.61,98.21,3077992,5.01,2.07,7.83,7.83,12.89,23.73,81.41
1635,1392,76.96,1.53,0.96,56.76,9.49,7.81,0.12,1.12,89.18,72.84,67.58,86.78,64.28,73.38,65.06,17.1,81.87,4966418,8.1,0.81,39.67,39.67,64.27,92.46,88.58
1732,1392,24.71,1.99,1.02,3.72,1.12,0.95,1.16,2.16,46.36,35.66,26.9,28.51,32.75,76.09,47.71,49.42,97.81,2936548,4.28,1.83,9.39,9.39,16.66,29.16,952.16
